989	796	451	119	7	92	932	965	961	826
596	35	687	709	85	100	784	363	242	17
31	807	16	354	663	638	495	630	474	152
93	187	730	117	865	14	515	498	901	988
255	66	683	554	934	477	70	615	691	91
527	592	47	276	844	569	64	660	309	492
870	363	272	255	671	955	204	464	897	542
681	19	964	520	72	5	341	147	727	484
673	386	171	55	78	601	508	167	77	570
220	147	27	959	354	789	113	979	542	144

989	796	451	119	7	92	932	965	961	826
596	35	687	709	85	100	784	363	242	17
31	807	16	354	663	638	495	630	474	152
93	187	730	117	865	14	515	498	901	988
255	66	683	554	934	477	70	615	691	91
527	592	47	276	844	569	64	660	309	492
870	363	272	255	671	955	204	464	897	542
681	19	964	520	72	5	341	147	727	484
673	386	171	55	78	601	508	167	77	570
220	147	27	959	354	789	113	979	542	144
